* ModuleName,* UDFColumnName,* UDFName,* ControlType,DefaultValue,OptionName,IsRequired,IsDeleted,IncludeInNarrowSearch,,ModuleList,ControlTypes,UDFNames
assetcategorymaster ,UDF1,UDF1,TextBox,ds,23,TRUE,FALSE,FALSE,,assetcategorymaster,Dropdown,UDF1
,,,,,,,,,,assetmaster,Dropdown Editable,UDF2
,,,,,,,,,,binmaster,Textbox,UDF3
,,,,,,,,,,cartitemlist,,UDF4
,,,,,,,,,,categorymaster,,UDF5
,,,,,,,,,,toolcheckinouthistory,,
,,,,,,,,,,costuommaster,,
,,,,,,,,,,customermaster,,
,,,,,,,,,,freighttypemaster,,
,,,,,,,,,,glaccountmaster,,
,,,,,,,,,,gxprconsigmentjobmaster,,
,,,,,,,,,,inventoryclassificationmaster,,
,,,,,,,,,,inventorycount,,
,,,,,,,,,,inventorycountlineitem,,
,,,,,,,,,,itemmaster,,
,,,,,,,,,,jobtypemaster,,
,,,,,,,,,,kitmaster,,
,,,,,,,,,,locationmaster,,
,,,,,,,,,,manufacturermaster,,
,,,,,,,,,,materialstaging,,
,,,,,,,,,,measurementterm,,
,,,,,,,,,,ordermaster ,,
,,,,,,,,,,projectmaster,,
,,,,,,,,,,projectspenditems ,,
,,,,,,,,,,pullmaster ,,
,,,,,,,,,,quicklistmaster,,
,,,,,,,,,,receivedordertransferdetail ,,
,,,,,,,,,,requisitionmaster ,,
,,,,,,,,,,shipviamaster,,
,,,,,,,,,,supplierblankepomaster,,
,,,,,,,,,,suppliermaster,,
,,,,,,,,,,technicianmaster,,
,,,,,,,,,,toolcategorymaster,,
,,,,,,,,,,toolmaster,,
,,,,,,,,,,toolschedulemapping ,,
,,,,,,,,,,toolsmaintenancelist ,,
,,,,,,,,,,toolsscheduler ,,
,,,,,,,,,,transfermaster ,,
,,,,,,,,,,unitmaster,,
,,,,,,,,,,vendermaster ,,
,,,,,,,,,,workorder ,,
